Pr_id,Pr_type,Sha,Labeler 1,Labeler 2,Final_label,Pr_state
2757179026,feat,2e2d2d439d7c44ba8f4efc19973d6aec9130604a,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2757179026,feat,3ca9b1eca25a6790e61c17de939d64fb71c51a05,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2757179026,feat,490c89fb38d0da2c33b69e9e80d906a36f3f7a4f,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2757179026,feat,bebfa2a10e292c5664900d43efc838983ddb5616,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2758636941,feat,38481fe2a7f78949e343fd892a489e38de46ee89,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2758636941,feat,6e49905b75cbce566f9868f3011553b36dae7a1e,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2760115428,feat,54799bed50158463dddd0d9959f1b82942d2b82d,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2760115428,feat,8917108ef2ab8de115f6c98c3a68e01341415034,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2760297589,feat,1a6fd53063342d843d5f3b14377b1b54096b7d97,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2761413721,feat,0d817279cb780946715b68081d610bc7be5c5c17,Functional Correctness Repair,Code Cleanup,Code Cleanup,Closed
2761413721,feat,38e848b290045bf88743a867d9dbd2c3fb1c0a1e,Documentation,Documentation,Documentation,Closed
2761413721,feat,afc67968580b184787f047d9ab0d15eb7e5b408f,Structural Refactoring,Code Convention Conformance,Code Convention Conformance,Closed
2761413721,feat,c82636c211e525b1dc97208908349b8e9aaa7948,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2761413721,feat,d10e1d9a783fa7e8051bd2f95c2659709d7a8fcb,Functional Correctness Repair,Feature Completion or Extension,Feature Completion or Extension,Closed
2762297369,fix,f1299f484de2a7636cb5ed691a858db749c8eeb3,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2762301500,feat,485ba5fbe33e82ec8d2e5186100a1b53edddecda,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2762301500,feat,48ca10957d2b470cfe1bfbfbfcfe9bc48a5b3b05,Feature Completion or Extension,Functional Correctness Repair,Functional Correctness Repair,Closed
2762301500,feat,864d635179c7e757637a08a55da8e4d230811abe,Documentation,Documentation,Documentation,Closed
2762301500,feat,93cc7e95768d6873696d7b70d5948b9d013c6e26,Functional Correctness Repair,Feature Completion or Extension,Feature Completion or Extension,Closed
2762301500,feat,d84f5ff8bf7a10d1bb7ecdc74e4b251490ab0229,Documentation,Documentation,Documentation,Closed
2762301500,feat,e4bb036e9a9c53470c74d6749536059419b3417e,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2763678225,fix,8c6883e5ee7756bc53f82e503b82016ed90fbbb4,Documentation,Documentation,Documentation,Closed
2764665933,fix,b0d545992af3780530f7a24131b8c7299b69ab97,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2764665933,fix,c4a401b24708d843c882dfe30a9b84a78a9dea3a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2764665933,fix,cf2f21cbfb971591372e26499eead5b3c33e0cff,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2767796873,feat,3bc2c91c7c5638f57856090979118ecdbbd827d9,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2767796873,feat,4fb6cb0fe0f314d2aa9bb6d557c567b29ad8831d,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2767796873,feat,5ce666c497e1f51a69e4ea8031440fbb9f7870d1,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2767796873,feat,67ea6ee8e1ff2f35d90aa4a3683f73d54af1b903,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2767796873,feat,bb93da0acfdcfabef9c6a3a240bf34e5306c2ce4,Test and Validation Adjustment,Functional Correctness Repair,Functional Correctness Repair,Closed
2767796873,feat,ca39894093c28cf7472408bbc488fdb989efeafc,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2767796873,feat,ce09db175ce34e96243d12875f60210f6b88dccb,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2767796873,feat,d9f425f6b9f21eb781be872228ed60c8025c7bda,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2767796873,feat,fd61b586d6fb028ef6304e3f540cf8740408cf47,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
