category,merged_present,merged_total,merged_pct,closed_present,closed_total,closed_pct,odds_ratio,ci95_lower,ci95_upper,p_value_fisher
Documentation,25,100,25.0,11,100,11.0,2.696969696969697,1.2452052455651723,5.841322603063292,0.015900365145836155
Other,4,100,4.0,2,100,2.0,2.0416666666666665,0.36539071111556165,11.408069912481823,0.6827165895859618
Code Cleanup,23,100,23.0,18,100,18.0,1.3607503607503608,0.6819908905761409,2.715053191865927,0.48385720310025415
Structural Refactoring,12,100,12.0,11,100,11.0,1.103305785123967,0.46242820691353625,2.6323732793307264,1.0
Test and Validation Adjustment,19,100,19.0,18,100,18.0,1.0685871056241427,0.5232406778652393,2.182319629591707,1.0
Version-Control Conflict Resolution,1,100,1.0,1,100,1.0,1.0,0.06168148318494967,16.21232091649834,1.0
User-Facing Interface and Interaction Refinement,13,100,13.0,14,100,14.0,0.9178981937602627,0.407677832167439,2.0666737988400383,1.0
Feature Completion or Extension,23,100,23.0,25,100,25.0,0.8961038961038961,0.4680640695064773,1.7155817866115224,0.868635072452772
Functional Correctness Repair,47,100,47.0,52,100,52.0,0.818577648766328,0.46988330300167525,1.42603357637805,0.5717034055581856
Rollback or Reversion,5,100,5.0,7,100,7.0,0.6992481203007519,0.214281584261503,2.2818010023084243,0.7673444346427294
Code Convention Conformance,10,100,10.0,16,100,16.0,0.5833333333333334,0.2507789415098437,1.3568833799564513,0.29307398364297876
Project Integration and Environment Maintenance,17,100,17.0,30,100,30.0,0.4779116465863454,0.24341249224004247,0.9383230081619415,0.044670933800229594
